 python train.py config/train_mitos.py
Overriding config with config/train_mitos.py:
# train a miniature character-level mitos model
# good for debugging and playing on macbooks and such

out_dir = 'out-mitos'
eval_interval = 250 # keep frequent because we'll overfit
eval_iters = 200
log_interval = 10 # don't print too too often

# we expect to overfit on this small dataset, so only save when val improves
always_save_checkpoint = False

wandb_log = False # override via command line if you like
wandb_project = 'mitos'
wandb_run_name = 'mini-gpt'

dataset = 'mitos'
batch_size = 64
block_size = 256 # context of up to 256 previous characters

# baby GPT model :)
n_layer = 6
n_head = 6
n_embd = 384
dropout = 0.2

learning_rate = 1e-3 # with baby networks can afford to go a bit higher
max_iters = 5000
lr_decay_iters = 5000 # make equal to max_iters usually
min_lr = 1e-4 # learning_rate / 10 usually
beta2 = 0.99 # make a bit bigger because number of tokens per iter is small

warmup_iters = 100 # not super necessary potentially

# on macbook also add
device = 'cuda'  # run on cpu only
compile = False # do not torch compile the model

use_lora = False
found vocab_size = 182 (inside data/mitos/meta.pkl)
Initializing a new model from scratch
WARNING: using slow attention. Flash Attention atm needs PyTorch nightly and dropout=0.0
WARNING: using slow attention. Flash Attention atm needs PyTorch nightly and dropout=0.0
WARNING: using slow attention. Flash Attention atm needs PyTorch nightly and dropout=0.0
WARNING: using slow attention. Flash Attention atm needs PyTorch nightly and dropout=0.0
WARNING: using slow attention. Flash Attention atm needs PyTorch nightly and dropout=0.0
WARNING: using slow attention. Flash Attention atm needs PyTorch nightly and dropout=0.0
number of parameters: 10.69M
using fused AdamW: True
step 0: train loss 5.2213, val loss 5.2199
iter 1850: loss 0.3518, time 6703.61ms, mfu 2.17%
iter 1860: loss 0.4019, time 6704.90ms, mfu 2.17%
iter 1870: loss 0.3219, time 6704.27ms, mfu 2.18%
iter 1880: loss 0.3685, time 6704.27ms, mfu 2.18%
iter 1890: loss 0.3245, time 6704.74ms, mfu 2.19%
iter 1900: loss 0.3563, time 6703.91ms, mfu 2.19%
iter 1910: loss 0.3861, time 6703.40ms, mfu 2.20%
iter 1920: loss 0.3504, time 6706.41ms, mfu 2.20%
iter 1930: loss 0.3881, time 6705.94ms, mfu 2.20%
iter 1940: loss 0.3617, time 6703.53ms, mfu 2.21%
iter 1950: loss 0.3556, time 6703.46ms, mfu 2.21%
iter 1960: loss 0.3640, time 6703.31ms, mfu 2.21%
iter 1970: loss 0.3404, time 6704.12ms, mfu 2.21%
iter 1980: loss 0.3741, time 6704.37ms, mfu 2.21%
iter 1990: loss 0.3535, time 6703.74ms, mfu 2.22%
step 2000: train loss 0.2310, val loss 0.8094
iter 2000: loss 0.3402, time 31261.40ms, mfu 2.04%
iter 2010: loss 0.3914, time 6704.18ms, mfu 2.06%
iter 2020: loss 0.3818, time 6704.52ms, mfu 2.08%
iter 2030: loss 0.3790, time 6705.22ms, mfu 2.09%
iter 2040: loss 0.3428, time 6704.13ms, mfu 2.11%
iter 2050: loss 0.4097, time 6705.01ms, mfu 2.12%
iter 2060: loss 0.3401, time 6707.26ms, mfu 2.13%
iter 2070: loss 0.3149, time 6704.99ms, mfu 2.14%
iter 2080: loss 0.3720, time 6704.78ms, mfu 2.15%
iter 2090: loss 0.3574, time 6705.30ms, mfu 2.16%
iter 2100: loss 0.3644, time 6704.30ms, mfu 2.17%
iter 2110: loss 0.3876, time 6704.44ms, mfu 2.17%
iter 2120: loss 0.3355, time 6702.87ms, mfu 2.18%
iter 2130: loss 0.3928, time 6703.56ms, mfu 2.18%
iter 2140: loss 0.3059, time 6706.34ms, mfu 2.19%
iter 2150: loss 0.3378, time 6704.13ms, mfu 2.19%
iter 2160: loss 0.3540, time 6703.65ms, mfu 2.20%
iter 2170: loss 0.3513, time 6704.61ms, mfu 2.20%
iter 2180: loss 0.3661, time 6704.06ms, mfu 2.20%
iter 2190: loss 0.3486, time 6703.95ms, mfu 2.21%
iter 2200: loss 0.3117, time 6704.73ms, mfu 2.21%
iter 2210: loss 0.3690, time 6703.43ms, mfu 2.21%
iter 2220: loss 0.3466, time 6703.79ms, mfu 2.21%
iter 2230: loss 0.3586, time 6706.76ms, mfu 2.21%
iter 2240: loss 0.3377, time 6703.94ms, mfu 2.22%
step 2250: train loss 0.2107, val loss 0.8255
iter 2250: loss 0.3471, time 31255.37ms, mfu 2.04%
iter 2260: loss 0.3208, time 6703.64ms, mfu 2.06%
iter 2270: loss 0.3412, time 6704.50ms, mfu 2.08%
iter 2280: loss 0.2977, time 6707.98ms, mfu 2.09%
iter 2290: loss 0.3495, time 6703.64ms, mfu 2.11%
iter 2300: loss 0.3454, time 6704.92ms, mfu 2.12%
iter 2310: loss 0.3594, time 6704.68ms, mfu 2.13%
iter 2320: loss 0.3350, time 6704.12ms, mfu 2.14%
iter 2330: loss 0.3125, time 6704.39ms, mfu 2.15%
iter 2340: loss 0.3477, time 6704.09ms, mfu 2.16%
iter 2350: loss 0.3203, time 6704.16ms, mfu 2.17%
iter 2360: loss 0.3238, time 6706.11ms, mfu 2.17%
iter 2370: loss 0.3215, time 6703.54ms, mfu 2.18%
iter 2380: loss 0.3133, time 6703.73ms, mfu 2.18%
iter 2390: loss 0.3431, time 6703.37ms, mfu 2.19%
iter 2400: loss 0.3545, time 6704.01ms, mfu 2.19%
iter 2410: loss 0.3770, time 6704.02ms, mfu 2.20%
iter 2420: loss 0.3325, time 6702.55ms, mfu 2.20%
iter 2430: loss 0.3056, time 6703.39ms, mfu 2.20%
iter 2440: loss 0.3065, time 6702.56ms, mfu 2.21%
iter 2450: loss 0.3164, time 6705.96ms, mfu 2.21%
iter 2460: loss 0.3064, time 6704.33ms, mfu 2.21%
iter 2470: loss 0.3609, time 6703.80ms, mfu 2.21%
iter 2480: loss 0.3135, time 6702.73ms, mfu 2.22%
iter 2490: loss 0.3136, time 6704.18ms, mfu 2.22%
step 2500: train loss 0.1933, val loss 0.8515
iter 2500: loss 0.3189, time 31255.82ms, mfu 2.04%
iter 2510: loss 0.3097, time 6702.85ms, mfu 2.06%
iter 2520: loss 0.3403, time 6703.57ms, mfu 2.08%
iter 2530: loss 0.2932, time 6703.75ms, mfu 2.09%
iter 2540: loss 0.3077, time 6704.97ms, mfu 2.11%
iter 2550: loss 0.3283, time 6704.07ms, mfu 2.12%
iter 2560: loss 0.2980, time 6704.11ms, mfu 2.13%
iter 2570: loss 0.3254, time 6704.95ms, mfu 2.14%
iter 2580: loss 0.2968, time 6707.24ms, mfu 2.15%
iter 2590: loss 0.3298, time 6706.40ms, mfu 2.16%
iter 2600: loss 0.2970, time 6704.84ms, mfu 2.17%
iter 2610: loss 0.3225, time 6704.12ms, mfu 2.17%
iter 2620: loss 0.3435, time 6705.39ms, mfu 2.18%
iter 2630: loss 0.3277, time 6704.33ms, mfu 2.18%
iter 2640: loss 0.3240, time 6704.04ms, mfu 2.19%
iter 2650: loss 0.3226, time 6707.05ms, mfu 2.19%
iter 2660: loss 0.3406, time 6703.54ms, mfu 2.20%
iter 2670: loss 0.3378, time 6705.45ms, mfu 2.20%
iter 2680: loss 0.3227, time 6703.42ms, mfu 2.20%
iter 2690: loss 0.3536, time 6704.28ms, mfu 2.21%
iter 2700: loss 0.3253, time 6703.26ms, mfu 2.21%
iter 2710: loss 0.2921, time 6704.40ms, mfu 2.21%
iter 2720: loss 0.2988, time 6704.22ms, mfu 2.21%
iter 2730: loss 0.3215, time 6704.28ms, mfu 2.21%
iter 2740: loss 0.3319, time 6703.51ms, mfu 2.22%
step 2750: train loss 0.1803, val loss 0.8527
iter 2750: loss 0.3224, time 31254.78ms, mfu 2.04%
iter 2760: loss 0.2872, time 6702.89ms, mfu 2.06%
iter 2770: loss 0.2996, time 6702.47ms, mfu 2.08%
iter 2780: loss 0.2740, time 6704.31ms, mfu 2.09%
iter 2790: loss 0.2719, time 6704.81ms, mfu 2.11%
iter 2800: loss 0.3270, time 6705.41ms, mfu 2.12%
iter 2810: loss 0.3111, time 6703.52ms, mfu 2.13%
iter 2820: loss 0.3186, time 6703.05ms, mfu 2.14%
iter 2830: loss 0.3210, time 6704.28ms, mfu 2.15%
iter 2840: loss 0.3187, time 6705.56ms, mfu 2.16%
iter 2850: loss 0.2939, time 6704.30ms, mfu 2.17%
iter 2860: loss 0.3033, time 6704.64ms, mfu 2.17%
iter 2870: loss 0.3238, time 6703.50ms, mfu 2.18%
iter 2880: loss 0.3025, time 6704.69ms, mfu 2.18%
iter 2890: loss 0.3151, time 6706.72ms, mfu 2.19%
iter 2900: loss 0.3234, time 6704.92ms, mfu 2.19%
iter 2910: loss 0.3294, time 6704.56ms, mfu 2.20%
iter 2920: loss 0.2821, time 6700.17ms, mfu 2.20%
iter 2930: loss 0.3286, time 6703.30ms, mfu 2.20%
iter 2940: loss 0.3343, time 6704.47ms, mfu 2.21%
iter 2950: loss 0.2930, time 6705.25ms, mfu 2.21%
iter 2960: loss 0.2904, time 6704.39ms, mfu 2.21%
iter 2970: loss 0.2973, time 6706.30ms, mfu 2.21%
iter 2980: loss 0.2890, time 6703.00ms, mfu 2.21%
iter 2990: loss 0.3028, time 6704.33ms, mfu 2.22%
step 3000: train loss 0.1677, val loss 0.8743
iter 3000: loss 0.2962, time 31254.88ms, mfu 2.04%
iter 3010: loss 0.3118, time 6703.12ms, mfu 2.06%
iter 3020: loss 0.3268, time 6697.54ms, mfu 2.08%
iter 3030: loss 0.3287, time 6704.71ms, mfu 2.09%
iter 3040: loss 0.3169, time 6703.51ms, mfu 2.11%
iter 3050: loss 0.2901, time 6703.07ms, mfu 2.12%
iter 3060: loss 0.3006, time 6704.20ms, mfu 2.13%
iter 3070: loss 0.2906, time 6703.35ms, mfu 2.14%
iter 3080: loss 0.2902, time 6703.23ms, mfu 2.15%
iter 3090: loss 0.3266, time 6703.17ms, mfu 2.16%
iter 3100: loss 0.3319, time 6713.42ms, mfu 2.17%
iter 3110: loss 0.3290, time 6706.52ms, mfu 2.17%
iter 3120: loss 0.2918, time 6703.22ms, mfu 2.18%
iter 3130: loss 0.2790, time 6705.60ms, mfu 2.18%
iter 3140: loss 0.2971, time 6703.27ms, mfu 2.19%
iter 3150: loss 0.2984, time 6704.14ms, mfu 2.19%
iter 3160: loss 0.2837, time 6705.69ms, mfu 2.20%
iter 3170: loss 0.3077, time 6705.16ms, mfu 2.20%
iter 3180: loss 0.2769, time 6704.17ms, mfu 2.20%
iter 3190: loss 0.2948, time 6704.64ms, mfu 2.21%
iter 3200: loss 0.2755, time 6705.29ms, mfu 2.21%
iter 3210: loss 0.2862, time 6703.75ms, mfu 2.21%
iter 3220: loss 0.2821, time 6704.74ms, mfu 2.21%
iter 3230: loss 0.2842, time 6739.18ms, mfu 2.21%
iter 3240: loss 0.2917, time 6705.01ms, mfu 2.22%
step 3250: train loss 0.1599, val loss 0.8863
iter 3250: loss 0.3020, time 31261.11ms, mfu 2.04%
iter 3260: loss 0.2814, time 6704.71ms, mfu 2.06%
iter 3270: loss 0.2595, time 6705.89ms, mfu 2.08%
iter 3280: loss 0.2959, time 6705.93ms, mfu 2.09%
iter 3290: loss 0.3214, time 6703.71ms, mfu 2.11%
iter 3300: loss 0.3216, time 6704.31ms, mfu 2.12%
iter 3310: loss 0.3097, time 6704.10ms, mfu 2.13%
iter 3320: loss 0.3027, time 6703.32ms, mfu 2.14%
iter 3330: loss 0.2409, time 6708.29ms, mfu 2.15%
iter 3340: loss 0.2792, time 6704.91ms, mfu 2.16%
iter 3350: loss 0.3010, time 6705.79ms, mfu 2.17%
iter 3360: loss 0.2578, time 6702.97ms, mfu 2.17%
iter 3370: loss 0.2880, time 6704.83ms, mfu 2.18%
iter 3380: loss 0.2837, time 6704.49ms, mfu 2.18%
iter 3390: loss 0.2869, time 6703.63ms, mfu 2.19%
iter 3400: loss 0.3117, time 6704.51ms, mfu 2.19%
iter 3410: loss 0.3103, time 6705.15ms, mfu 2.20%
iter 3420: loss 0.2783, time 6704.48ms, mfu 2.20%
iter 3430: loss 0.2925, time 6704.14ms, mfu 2.20%
iter 3440: loss 0.2983, time 6706.14ms, mfu 2.21%
iter 3450: loss 0.2816, time 6709.22ms, mfu 2.21%
iter 3460: loss 0.3067, time 6705.25ms, mfu 2.21%
iter 3470: loss 0.2855, time 6705.88ms, mfu 2.21%
iter 3480: loss 0.3000, time 6705.17ms, mfu 2.21%
iter 3490: loss 0.2946, time 6705.08ms, mfu 2.22%
step 3500: train loss 0.1524, val loss 0.8838
iter 3500: loss 0.2950, time 31258.63ms, mfu 2.04%
iter 3510: loss 0.2963, time 6703.26ms, mfu 2.06%
iter 3520: loss 0.2886, time 6704.22ms, mfu 2.08%
iter 3530: loss 0.2804, time 6703.67ms, mfu 2.09%
iter 3540: loss 0.2952, time 6702.02ms, mfu 2.11%
iter 3550: loss 0.2816, time 6706.20ms, mfu 2.12%
iter 3560: loss 0.2902, time 6704.33ms, mfu 2.13%
iter 3570: loss 0.2840, time 6704.45ms, mfu 2.14%
iter 3580: loss 0.2762, time 6696.24ms, mfu 2.15%
iter 3590: loss 0.2709, time 6703.04ms, mfu 2.16%
iter 3600: loss 0.2696, time 6704.11ms, mfu 2.17%
iter 3610: loss 0.2588, time 6703.95ms, mfu 2.17%
iter 3620: loss 0.2790, time 6704.93ms, mfu 2.18%
iter 3630: loss 0.2719, time 6706.58ms, mfu 2.18%
iter 3640: loss 0.2702, time 6703.82ms, mfu 2.19%
iter 3650: loss 0.2708, time 6704.02ms, mfu 2.19%
iter 3660: loss 0.3013, time 6703.75ms, mfu 2.20%
iter 3670: loss 0.3007, time 6702.14ms, mfu 2.20%
iter 3680: loss 0.2909, time 6706.63ms, mfu 2.20%
iter 3690: loss 0.2680, time 6703.12ms, mfu 2.21%
iter 3700: loss 0.2502, time 6705.54ms, mfu 2.21%
iter 3710: loss 0.2711, time 6703.63ms, mfu 2.21%
iter 3720: loss 0.2833, time 6705.63ms, mfu 2.21%
iter 3730: loss 0.2841, time 6703.16ms, mfu 2.21%
iter 3740: loss 0.2463, time 6703.56ms, mfu 2.22%
step 3750: train loss 0.1455, val loss 0.9042
iter 3750: loss 0.2643, time 31267.23ms, mfu 2.04%
iter 3760: loss 0.2394, time 6700.10ms, mfu 2.06%
iter 3770: loss 0.2720, time 6705.66ms, mfu 2.08%
iter 3780: loss 0.2636, time 6704.37ms, mfu 2.09%
